date,open,close,high,low,volume
1989-09-21,45.0000,10.4300,46.0000,44.2500,7186800
1989-09-20,44.0000,10.4000,45.0000,43.7500,4230800
1989-09-19,44.2500,10.0800,44.5000,43.0000,2888800
1989-09-18,44.5000,10.2500,45.0000,44.0000,2264400
1989-09-15,45.0000,10.4900,45.2500,44.2500,4470800
1989-09-14,45.0000,10.4300,45.2500,44.5000,4693600
1989-09-13,46.2500,10.4900,46.6300,45.0000,4616400
1989-09-12,45.5000,10.7200,46.7500,45.0000,3710800
1989-09-11,44.7500,10.6600,46.0000,44.5000,3522000
1989-09-08,44.7500,10.4900,45.2500,44.5000,2013200
1989-09-07,44.7500,10.4300,45.5000,44.7500,4083200
1989-09-06,44.7500,10.4300,44.8800,44.0000,3108800
1989-09-05,44.5000,10.4300,45.3800,44.5000,4112400
1989-09-01,44.5000,10.4000,44.7500,44.2500,2651200
1989-08-31,44.5000,10.3700,45.0000,44.2500,2016400
1989-08-30,44.0000,10.3700,44.7500,44.0000,4161200
1989-08-29,44.7500,10.2800,45.0000,43.7500,6339200
1989-08-28,44.5000,10.4300,45.0000,44.0000,2936800
1989-08-25,44.0000,10.4300,45.0000,44.0000,5766400
1989-08-24,43.7500,10.2800,44.5000,43.5000,5829200
1989-08-23,43.0000,10.1900,44.2500,42.5000,6202400
1989-08-22,42.0000,9.9900,43.0000,42.0000,4013200
1989-08-21,42.2500,9.8400,43.2500,42.0000,4923600
1989-08-18,41.7500,9.8200,42.5000,41.5000,3003600
1989-08-17,40.2500,9.5300,41.2500,40.0000,5495600
1989-08-16,41.5000,9.3900,41.7500,40.0000,4318800
1989-08-15,40.7500,9.6200,41.5000,40.7500,5852000
1989-08-14,41.5000,9.4700,42.0000,40.5000,3690800
1989-08-11,44.0000,9.7400,44.0000,41.2500,8226800
1989-08-10,44.0000,10.0500,44.0000,42.7500,5442400
1989-08-09,44.0000,10.2300,45.7500,43.8800,6975600
1989-08-08,43.5000,10.2600,44.7500,43.5000,7366400
